UWBF_7374,UWBF_AND_11,"Description: This yeast strain has AND gate logic comprised of 6 genetic elements and Inputs 1_1. Genotype: pMOD4G-dcas9-mxi|pMOD8-URGR-r2|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR1-Nat-pGRR-r10-RGR-r1|pMOD6-pGRR-r3r1-RGR-r5. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_7374.csv
UWBF_7375,UWBF_AND_01,"Description: This yeast strain has AND gate logic comprised of 5 genetic elements and Inputs 0_1. Genotype: pMOD4G-dcas9-mxi1|pMOD8-URGR-r2|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD6-pGRR-r3r1-RGR-r5. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_7375.csv
UWBF_7376,UWBF_AND_00,"Description: This yeast strain has AND gate logic comprised of 4 genetic elements and Inputs 0_0. Genotype: pMOD6-pGRR-r3r1-RGR-r5|pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_7376.csv
UWBF_7377,UWBF_XNOR_10,"Description: This yeast strain has XNOR gate logic comprised of 6 genetic elements and Inputs 1_0. Genotype: pMOD4G-dcas9-mxi1|pMOD6-pGRR-r3r1-yeGFP|pMOD8-pGRR-r10r7-RGR-r3|pMOD-LTR2-Bleo-pGRR-r2r7-RGR-r1|pMOD8A-RGR-r2|pMOD-HOKan-pGRR-r10r2-RGR-r7. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_7377.csv
UWBF_8225,UWBF_OR_00,"Description: This yeast strain has OR gate logic comprised of 3 genetic elements and Inputs 0_0. Genotype: pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7|pMOD8. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_8225.csv
UWBF_8231,UWBF_XNOR_01,"Description: This yeast strain has XNOR gate logic comprised of 6 genetic elements and Inputs 0_1. Genotype: pMOD4G-dcas9-mxi1|pMOD6-pGRR-r3r1-yeGFP|pMOD8-pGRR-r10r7-RGR-r3|pMOD-LTR2-Bleo-pGRR-r7r2-RGR-r1|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR2-BleoMX-pGRR-r4-RGR-r10. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_8231.csv
UWBF_8542,UWBF_NAND_11,"Description: This yeast strain has NAND gate logic comprised of 9 genetic elements and Inputs 1_1. Genotype: pMOD4G-dcas9-mxi1|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR1-Nat-pGRR-r10-RGR-r1|pMOD6-pGRR-r3r1-RGR-r5|pMOD-LTR2-bleo-pGRR-r2r2-RGR-r3|pMOD-LTR3-HygMX-GPD-RGR-r10|pMOD8A-RGR-r2|pMOD-HOKan-Leu2. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_8542.csv
UWBF_8543,UWBF_NAND_10,"Description: This yeast strain has NAND gate logic comprised of 8 genetic elements and Inputs 1_0. Genotype: pMOD4G-dcas9-mxi1|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR1-Nat-pGRR-r10-RGR-r1|pMOD6-pGRR-r3r1-RGR-r5|pMOD-LTR2-bleo-pGRR-r2r2-RGR-r3|pMOD8A-RGR-r2|pMOD-HOKan-Leu2. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_8543.csv
UWBF_8544,UWBF_NAND_00,"Description: This yeast strain has NAND gate logic comprised of 7 genetic elements and Inputs 0_0. Genotype: pMOD4G-dcas9-mxi1|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR1-Nat-pGRR-r10-RGR-r1|pMOD6-pGRR-r3r1-RGR-r5|pMOD-LTR2-bleo-pGRR-r2r2-RGR-r3|pMOD-HOKan-Leu2. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_8544.csv
UWBF_8545,UWBF_NAND_01,"Description: This yeast strain has NAND gate logic comprised of 8 genetic elements and Inputs 0_1. Genotype: pMOD4G-dcas9-mxi1|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR1-Nat-pGRR-r10-RGR-r1|pMOD6-pGRR-r3r1-RGR-r5|pMOD-LTR2-bleo-pGRR-r2r2-RGR-r3|pMOD-LTR3-HygMX-GPD-RGR-r10|pMOD-HOKan-Leu2. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_8545.csv
UWBF_16967,UWBF_XOR_11,"Description: This yeast strain has XOR gate logic comprised of 8 genetic elements and Inputs 1_1. Genotype: pMOD8-pGRR-r2r3-RGR-r9|pMOD6-pGRR-r1r9-RGR-r7|pMOD-LTR3-Hyg-pGRR-r6r6-RGR-r1|pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7|pMOD-LTR1-NatMX-A-RGR-r6|pMOD8A-RGR-r3. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_16967.csv
UWBF_16968,UWBF_XOR_10,"Description: This yeast strain has XOR gate logic comprised of 7 genetic elements and Inputs 1_0. Genotype: pMOD8-pGRR-r2r3-RGR-r9|pMOD6-pGRR-r1r9-RGR-r7|pMOD-LTR3-Hyg-pGRR-r6r6-RGR-r1|pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7|pMOD8A-RGR-r3. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_16968.csv
UWBF_16969,UWBF_XOR_01,"Description: This yeast strain has XOR gate logic comprised of 7 genetic elements and Inputs 0_1. Genotype: pMOD8-pGRR-r2r3-RGR-r9|pMOD6-pGRR-r1r9-RGR-r7|pMOD-LTR3-Hyg-pGRR-r6r6-RGR-r1|pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7|pMOD-LTR1-NatMX-A-RGR-r6. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_16969.csv
UWBF_16970,UWBF_XOR_00,"Description: This yeast strain has XOR gate logic comprised of 6 genetic elements and Inputs 0_0. Genotype: pMOD8-pGRR-r2r3-RGR-r9|pMOD6-pGRR-r1r9-RGR-r7|pMOD-LTR3-Hyg-pGRR-r6r6-RGR-r1|pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_16970.csv
